active_agent_count,reward_mean,p2p_mean,grid_trade_mean,grid_buy_mean,grid_sell_mean,carbon_mean,seed_count,eval_episodes_per_seed,fixed_eval_seed,checkpoint_episode
1,67.66974971405128,0.0,3.824823388651454,3.3088910923385755,0.515932296312878,2.4178943392260375,3,20,20260417,10000
2,68.19888244813514,0.12427614443403341,3.2269892079166387,2.892288120951284,0.3347010869653553,2.1215315133301127,3,20,20260417,10000
3,70.68310231842378,0.15167357734320822,3.144058408414668,2.8896012087878287,0.25445719962683866,2.132954919084034,3,20,20260417,10000
4,71.55720648335085,0.2891227306811986,2.9696552868040773,2.690020727695335,0.2796345591087418,1.9825548810122804,3,20,20260417,10000
5,72.29378228002123,0.1848442762136682,2.9226658274499093,2.6843018384774133,0.2383639889724958,1.99002543895941,3,20,20260417,10000
6,72.86243003099054,0.12571134073337614,3.168343256629209,2.944026224973913,0.22431703165529615,2.175162046945473,3,20,20260417,10000
7,72.78702766320535,0.21460267087203821,2.9867100312191135,2.7517810975492956,0.23492893366981749,2.0351752846412743,3,20,20260417,10000
8,72.47398329306809,0.2461717102386808,2.968033728398765,2.7266077296507647,0.24142599874799997,2.0156578578678706,3,20,20260417,10000
9,73.04978988549591,0.20471119655345227,3.0671291151499074,2.8316598050651396,0.23546931008476768,2.090723000342134,3,20,20260417,10000
10,72.51954774051906,0.15006326150329793,3.0303349457294626,2.8105808153512357,0.21975413037822703,2.079497304794651,3,20,20260417,10000
11,72.62264677593203,0.19394293876308508,3.084638615077941,2.8663866107263494,0.2182520043515922,2.115128942784867,3,20,20260417,10000
12,72.28538517022022,0.15466418378681124,3.1048646157425708,2.8911417637620787,0.21372285198049246,2.13559983206092,3,20,20260417,10000
13,72.46195112823422,0.1925169732254043,3.015326403397299,2.8046022688484933,0.2107241345488056,2.072493934895308,3,20,20260417,10000
14,72.54447641803158,0.1669684620219545,3.0713561747082694,2.8515097195305597,0.21984645517770918,2.1056802200119766,3,20,20260417,10000
15,73.04876402113173,0.2387859113735559,2.881489968691182,2.654240271046867,0.22724969764431444,1.9709855098600937,3,20,20260417,10000
16,72.17361018922594,0.17716890514104455,3.1100997170965363,2.8827869786180194,0.22731273847851666,2.123089661472628,3,20,20260417,10000
17,72.90552899915409,0.19875187180853268,3.004881562908281,2.7767714946062725,0.2281100683020091,2.0524410893036378,3,20,20260417,10000
18,72.78994324119002,0.1782905490685963,3.053374950218989,2.8280114012460262,0.22536354897296343,2.0916569486533163,3,20,20260417,10000
19,73.1026232658074,0.18078824993394496,2.9653823277507594,2.757699445189852,0.20768288256090708,2.038053603741691,3,20,20260417,10000
20,73.2434911357032,0.201860737945147,2.847303029528465,2.640373005681978,0.20693002384648748,1.9603039469584937,3,20,20260417,10000
21,73.1587671431284,0.18229228004297449,2.963740374572902,2.763521613516653,0.20021876105624917,2.043286745783814,3,20,20260417,10000
22,73.53325442160018,0.19795737072942568,2.9580715509818174,2.7501133514642144,0.2079581995176026,2.0321108911143244,3,20,20260417,10000
23,73.0772559446989,0.18576390721458402,3.010217999424628,2.8121315986033046,0.19808640082132326,2.0736327607076386,3,20,20260417,10000
24,73.33153100896764,0.18918151213030773,2.965700764173978,2.774146770829905,0.19155399334407344,2.049386922929448,3,20,20260417,10000
25,73.38824992073907,0.1929601801064118,2.9487492747794612,2.7625819971829295,0.18616727759653165,2.04231134935145,3,20,20260417,10000
26,73.90581920045054,0.19148216878125704,2.9309214638577346,2.746671285202703,0.18425017865503224,2.029412701447255,3,20,20260417,10000
27,74.33915612256085,0.1900495019332488,2.9021099867309523,2.730205672991206,0.17190431373974588,2.0191841640630313,3,20,20260417,10000
28,74.32875234967186,0.1940848123678889,2.9025312228579927,2.7341669121658163,0.1683643106921766,2.022924775929937,3,20,20260417,10000
29,74.46928123313349,0.19052149278848832,2.907005913536688,2.7453105861257754,0.161695327410913,2.032605167688415,3,20,20260417,10000
30,75.0330566851298,0.20667432978032674,2.8663911244290716,2.7191218362754355,0.14726928815363674,2.0121061573211043,3,20,20260417,10000
