seller_id,buyer_0,buyer_1,buyer_2,buyer_3,buyer_4,buyer_5,buyer_6,buyer_7,buyer_8,buyer_9,buyer_10,buyer_11,buyer_12,buyer_13,buyer_14,buyer_15,buyer_16,buyer_17,buyer_18,buyer_19,buyer_20,buyer_21,buyer_22,buyer_23,buyer_24,buyer_25,buyer_26,buyer_27,buyer_28,buyer_29
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3987746434515417,0.0,0.0,0.0,-0.6440891128951113,-0.43005296476801014,-0.48745366492857645,0.0,0.0,0.0,0.0,0.0,0.0,-2.35713148492004,0.0,0.0,-0.7810024029040123,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17120997489606016,0.0,0.0,-0.12030165651148589,0.0,0.0,0.0,0.0,-0.3584592994671174,0.0,-0.44362152994715803,-0.5625627899379164,0.0,-0.13587903662575831,-0.001218894724788408,-0.4403918960309834,0.0,0.0,-0.6705322019656371,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3661611520888842,0.0,0.0,0.0,-0.5797953584654918,0.0,0.0,-0.6334591570053482,0.0,0.0,-0.4387657257455059,0.0,0.0,0.0,-0.8089320897559492
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36952181698137815,0.0,-0.23229959207628456,0.0,-0.39261078180229303,0.0,0.0,-0.4443287209223243,-0.03339835651851716,0.0,-0.03083421881820502,0.0,0.0,0.0,-1.2766925050808222
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04293761866000516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6406234154021704,-0.4588052436075317,-0.1523439229536148,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9475008617664125,0.0,0.0,-0.7067262628834368,0.0,0.0,0.0,0.0,-0.20054938773749045,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14158436767769547,0.0,0.0,-0.8209354138247195,0.0,-0.4767508507027663,0.0,0.0,0.0,0.0,0.0,0.0,-0.28797963980522734
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11629904602749361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4416775817031758,0.0,0.0,0.0,-0.20612189963841238,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
