method,method_key,seed,experiment_name,final100_reward,all_mean_reward,final100_p2p,all_mean_p2p,final100_grid_trade,all_mean_grid_trade,final100_carbon_resp,all_mean_carbon_resp
Full,full,42,paper_ablation_full_10000ep_seed42_20260422,75.86238964430491,75.53181942590263,0.28375068291827477,0.25930673028657647,2.820331302653528,2.8345069089713375,1.997902998715476,2.003629244431394
Full,full,43,paper_ablation_full_10000ep_seed43_20260422,73.59301813157398,73.44138242737222,0.15480927632492253,0.1537230915539551,2.946826298587409,2.955985681461455,2.0404250012567364,2.043646151733898
Full,full,44,paper_ablation_full_10000ep_seed44_20260422,72.29052881850136,71.35882912755687,0.04155535386140551,0.02074584772704447,3.015460610240281,3.0680513520835,2.065988399153673,2.083569761967869
CMTM Stateless,cmtm_stateless,42,paper_ablation_cmtm_stateless_10000ep_seed42_20260422,78.03383054629963,76.09584823159793,0.22396300416309725,0.2318975989542064,2.8908064828788635,2.9259005921354686,1.9539352278384552,1.9915231413532242
CMTM Stateless,cmtm_stateless,43,paper_ablation_cmtm_stateless_10000ep_seed43_20260422,77.20475663348039,75.26498574800168,0.20965964189518713,0.19419950617296253,2.9307562367537234,2.9274490796631154,1.9683723952457937,2.0078476564003687
CMTM Stateless,cmtm_stateless,44,paper_ablation_cmtm_stateless_10000ep_seed44_20260422,78.24068723368975,76.67465684353775,0.3726244716426567,0.3244623784255172,2.730866607599259,2.798191640712017,1.9504924118090474,1.9809997036403464
Mask ObsOnly,mask_obs_only,42,paper_ablation_mask_obs_only_10000ep_seed42_20260422,76.02010319307115,75.83712134219343,0.3021046544776719,0.2783527207452254,2.810828389469009,2.816288455823955,1.9947691484749357,1.9975614991129564
Mask ObsOnly,mask_obs_only,43,paper_ablation_mask_obs_only_10000ep_seed43_20260422,72.4593065434562,72.47080241198397,0.07855302500217723,0.10917171198183566,3.0075863374613108,3.0111762972893934,2.0622204559141664,2.0623637005969386
Mask ObsOnly,mask_obs_only,44,paper_ablation_mask_obs_only_10000ep_seed44_20260422,75.92728030347826,74.01902049023805,0.29750174781651667,0.19887781474744554,2.822622568033674,2.9264722422761755,1.9951790981687436,2.032026297306317
Direct Max Scale,direct_max,42,paper_ablation_direct_max_10000ep_seed42_20260422,75.58130570824942,75.12970824322325,0.24467805751091085,0.20954679175927676,2.8310022983897407,2.852870008601245,2.0030534566844396,2.011544086635322
Direct Max Scale,direct_max,43,paper_ablation_direct_max_10000ep_seed43_20260422,73.31680784606934,73.03746715442193,0.1318392604740336,0.12437373911938278,2.958413465688555,2.9763909304248486,2.0460032311605274,2.0514654100279626
Direct Max Scale,direct_max,44,paper_ablation_direct_max_10000ep_seed44_20260422,77.13620739354027,76.34411106562241,0.3695624596232239,0.3330960058673168,2.7475101391887615,2.79536077275659,1.9711568439593572,1.9867903455533262
