method,method_label,mask_mode,seed,run_dir,checkpoint_episode,checkpoint_path,scenario_name,scenario_label,scenario_category,active_agent_count,min_agents,step_churn_prob,inactive_noise_std,reward_mean,reward_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,grid_trade_mean,grid_trade_std,carbon_mean,carbon_std,n_agents_mean,n_eval_episodes,attn_leakage_per_call,attn_calls,attn_entropy_mean,inactive_action_abs_mean
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,75.50428362252092,4.500223547859014,0.21144485010545694,0.0609320382469076,2.63832524624512,0.16175964432849319,0.09792183362611293,0.020335282551952556,2.7362470798712333,0.15499814539864554,2.0168434599645124,0.11773700473435143,17.83611111111111,30,0.0,42090.0,1.7520782625356957,0.0
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_churn10_p30,"10-30 agents, churn 0.30",dynamic,,10,0.3,0.0,75.09603222144773,3.9212335929325945,0.2419007517535649,0.06275814555088347,2.6277333827239597,0.1480988194182685,0.09826081548155703,0.018356317286305476,2.7259941982055165,0.14366676906694226,1.9982174501871817,0.09744003267254964,20.202777777777776,30,0.0,43127.0,1.9166728396016175,0.0
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_churn20_p20,"20-30 agents, churn 0.20",dynamic,,20,0.2,0.0,75.45065153176058,2.5851630666586156,0.2282506907340447,0.0421827167517489,2.6943194817372573,0.09586880717852964,0.09930928037527802,0.014581844951502748,2.793628762112534,0.08999789774059687,2.015647282056739,0.0691768257457789,25.57916666666667,30,0.0,38674.0,2.1034895837415544,0.0
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_static30,Static 30 agents,dynamic,,30,0.0,0.0,76.13247813754612,0.2497008667474514,0.2277936077824702,0.00697602707206152,2.680580414832645,0.01517055592813573,0.11475046485903605,0.0060181206177705926,2.795330879691681,0.016459974427571314,1.9926054970045206,0.007537697835025557,30.0,30,nan,0.0,2.202742885571577,nan
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_var20,Variable 20-30 agents,dynamic,,20,0.0,0.0,76.5976514339529,0.8341857287373968,0.28567597268455824,0.03962379891429938,2.659938793436313,0.1027621491539087,0.10728140940186395,0.01242919630437882,2.767220202838177,0.10103251718597955,1.976598598113802,0.06979953564181826,24.5,30,0.0,39528.0,2.087958309917502,0.0
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,noise_churn10_p30,Inactive-noise stress,inactive_noise,,10,0.3,5.0,74.98110868115347,4.0459986271811355,0.2495480305968326,0.06180580412366965,2.628626606588977,0.14756812503086203,0.09748025574106105,0.01795902976778599,2.726106862330038,0.14241379439297286,1.9978886569979395,0.09960826989259286,20.078125000000004,40,0.0,57096.0,1.9151044405508237,0.0
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,scale_01,1 active agents,scale_sweep,1,1,0.0,0.0,63.43417327891414,11.23715501239616,0.0,0.0,2.64043587237144,1.0540025112760316,0.47596953380802953,0.34867269335912565,3.11640540617947,0.8936981407818628,1.96672548349191,0.6990113164854036,1.0,20,0.0,29280.0,0.0,0.0
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,scale_02,2 active agents,scale_sweep,2,2,0.0,0.0,70.82487095942102,8.542629487236681,0.13436128061081712,0.25985064257033147,2.8058938247836798,0.7729846580236841,0.21399190957091316,0.17828169889360315,3.0198857343545926,0.702711724314262,2.092106844778932,0.540833548326364,2.0,20,0.0,29280.0,0.23344657130226432,0.0
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,scale_03,3 active agents,scale_sweep,3,3,0.0,0.0,73.31772122979164,6.3033510433154145,0.22490924792887595,0.21131376924904455,2.872006123008375,0.7490713396514657,0.1838734522189688,0.14841267447361667,3.055879575227343,0.6640548682522358,2.1025163462860457,0.5161528365363268,3.0,20,0.0,29280.0,0.427899871073419,0.0
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,scale_04,4 active agents,scale_sweep,4,4,0.0,0.0,74.82776146257916,3.597023704875717,0.25422756926127715,0.21936429742272276,2.7112968369708823,0.5681878099886197,0.16450352707661245,0.0786975877746015,2.875800364047495,0.5235857263492095,1.9992420821619852,0.40080928615129213,4.0,20,0.0,29280.0,0.6526068668761621,0.0
