method,method_label,scenario_name,scenario_label,scenario_category,active_agent_count,min_agents,step_churn_prob,inactive_noise_std,seed_count,eval_episodes_per_seed,reward_mean,reward_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,grid_trade_mean,grid_trade_std,carbon_mean,carbon_std,n_agents_mean,n_agents_std,attn_leakage_per_call,attn_leakage_per_call_std,attn_entropy_mean,attn_entropy_std,inactive_action_abs_mean,inactive_action_abs_std
full_ours,Full / Ours,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,1,30,94.71924123101763,0.0,0.15146693233789366,0.0,2.711602758142725,0.0,0.13815066906596288,0.0,2.849753427208689,0.0,1.6308742034980637,0.0,17.83611111111111,0.0,0.0,0.0,1.8134901647240547,0.0,0.0,0.0
full_ours,Full / Ours,dynamic_churn10_p30,"10-30 agents, churn 0.30",dynamic,,10,0.3,0.0,1,30,93.40327986147668,0.0,0.1850687984218631,0.0,2.729052852019178,0.0,0.16002031399272088,0.0,2.8890731660118987,0.0,1.6295916297085826,0.0,20.202777777777776,0.0,0.0,0.0,1.9970118226751494,0.0,0.0,0.0
full_ours,Full / Ours,dynamic_churn20_p20,"20-30 agents, churn 0.20",dynamic,,20,0.2,0.0,1,30,93.66842342880038,0.0,0.17309269420848192,0.0,2.7849440818098166,0.0,0.16614767644099412,0.0,2.9510917582508105,0.0,1.649037237586494,0.0,25.57916666666667,0.0,0.0,0.0,2.2183913447763532,0.0,0.0,0.0
full_ours,Full / Ours,dynamic_static30,Static 30 agents,dynamic,,30,0.0,0.0,1,30,93.06432348092396,0.0,0.14807887770247313,0.0,2.7806619582949876,0.0,0.20272512626285746,0.0,2.983387084557845,0.0,1.6507296745611995,0.0,30.0,0.0,nan,nan,2.3862745501006017,0.0,nan,nan
full_ours,Full / Ours,dynamic_var20,Variable 20-30 agents,dynamic,,20,0.0,0.0,1,30,93.65171919928657,0.0,0.20414202956410218,0.0,2.743576799115177,0.0,0.17905086253295868,0.0,2.922627661648136,0.0,1.6335801996175963,0.0,24.5,0.0,0.0,0.0,2.2012883206724254,0.0,0.0,0.0
full_ours,Full / Ours,noise_churn10_p30,Inactive-noise stress,inactive_noise,,10,0.3,5.0,1,40,93.38245265136162,0.0,0.19116825942406385,0.0,2.733860272226657,0.0,0.16121038326332893,0.0,2.8950706554899863,0.0,1.6273194186487259,0.0,20.078125000000004,0.0,0.0,0.0,2.0044138871347075,0.0,0.0,0.0
full_ours,Full / Ours,scale_01,1 active agents,scale_sweep,1,1,0.0,0.0,1,20,78.78666203108928,0.0,0.0,0.0,2.5858229340384766,0.0,0.41593508413030655,0.0,3.001758018168783,0.0,1.6609422716019508,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_ours,Full / Ours,scale_02,2 active agents,scale_sweep,2,2,0.0,0.0,1,20,86.35476530815163,0.0,0.0766890758023788,0.0,2.8869642984064803,0.0,0.2744680147039845,0.0,3.161432313110465,0.0,1.7804007080905042,0.0,2.0,0.0,0.0,0.0,0.23714592213821317,0.0,0.0,0.0
full_ours,Full / Ours,scale_03,3 active agents,scale_sweep,3,3,0.0,0.0,1,20,88.61776066410044,0.0,0.13973879963905791,0.0,2.969291635399631,0.0,0.2588443767555683,0.0,3.228136012155199,0.0,1.7951607427549128,0.0,3.0,0.0,0.0,0.0,0.4259770045090019,0.0,0.0,0.0
full_ours,Full / Ours,scale_04,4 active agents,scale_sweep,4,4,0.0,0.0,1,20,91.09070480242372,0.0,0.15802380337012262,0.0,2.7974384651309068,0.0,0.23619126011588754,0.0,3.0336297252467936,0.0,1.6723263048329406,0.0,4.0,0.0,0.0,0.0,0.6544375538785275,0.0,0.0,0.0
